iter	Passed	Remaining
235	2886	3766
236	2897	3753
237	2909	3740
238	2921	3728
239	2933	3715
240	2945	3702
241	2957	3690
242	2970	3679
243	2982	3666
244	2994	3654
245	3006	3642
246	3018	3629
247	3030	3617
248	3042	3604
249	3054	3591
250	3065	3578
251	3077	3566
252	3089	3553
253	3101	3540
254	3113	3528
255	3124	3515
256	3136	3503
257	3148	3490
258	3160	3477
259	3172	3464
260	3183	3452
261	3195	3439
262	3207	3427
263	3219	3414
264	3231	3402
265	3243	3389
266	3255	3377
267	3267	3364
268	3278	3352
269	3290	3339
270	3302	3326
271	3314	3314
272	3326	3301
273	3338	3289
274	3349	3276
275	3361	3264
276	3373	3251
277	3385	3239
278	3397	3226
279	3409	3214
280	3421	3201
281	3432	3189
282	3444	3176
283	3456	3164
284	3468	3151
285	3480	3139
286	3492	3127
287	3503	3114
288	3515	3102
289	3527	3089
290	3539	3077
291	3551	3065
292	3563	3052
293	3575	3040
294	3587	3027
295	3599	3015
296	3610	3002
297	3622	2990
298	3634	2978
299	3646	2965
300	3658	2953
301	3670	2941
302	3682	2928
303	3694	2916
304	3705	2904
305	3717	2891
306	3729	2879
307	3741	2867
308	3753	2854
309	3765	2842
310	3777	2830
311	3789	2817
312	3801	2805
313	3813	2793
314	3824	2780
315	3836	2768
316	3848	2756
317	3860	2743
318	3872	2731
319	3884	2718
320	3895	2706
321	3907	2694
322	3919	2681
323	3931	2669
324	3943	2657
325	3955	2644
326	3967	2632
327	3979	2620
328	3991	2608
329	4003	2596
330	4015	2584
331	4027	2571
332	4039	2559
333	4051	2547
334	4063	2534
335	4075	2522
336	4086	2510
337	4098	2497
338	4110	2485
339	4122	2473
340	4134	2461
341	4146	2448
342	4158	2436
343	4169	2424
344	4181	2412
345	4193	2399
346	4205	2387
347	4217	2375
348	4229	2362
349	4240	2350
350	4252	2338
351	4264	2326
352	4276	2313
353	4288	2301
354	4299	2289
355	4311	2276
356	4323	2264
357	4335	2252
358	4347	2240
359	4358	2227
360	4370	2215
361	4382	2203
362	4393	2190
363	4405	2178
364	4417	2166
365	4429	2154
366	4441	2142
367	4453	2129
368	4465	2117
369	4476	2105
370	4488	2093
371	4500	2080
372	4512	2068
373	4524	2056
374	4535	2044
375	4547	2031
376	4559	2019
377	4571	2007
378	4582	1995
379	4595	1983
380	4607	1971
381	4619	1958
382	4631	1946
383	4642	1934
384	4654	1922
385	4666	1910
386	4678	1897
387	4690	1885
388	4702	1873
389	4714	1861
390	4725	1849
391	4738	1837
392	4750	1825
393	4762	1812
394	4773	1800
395	4785	1788
396	4797	1776
397	4809	1764
398	4821	1752
399	4833	1739
400	4845	1727
401	4856	1715
402	4868	1703
403	4880	1691
404	4892	1679
405	4905	1667
406	4917	1655
407	4928	1642
408	4940	1630
409	4952	1618
410	4964	1606
411	4976	1594
412	4988	1582
413	5000	1570
414	5012	1558
415	5024	1545
416	5035	1533
417	5047	1521
418	5059	1509
419	5071	1497
420	5083	1485
421	5095	1473
422	5107	1460
423	5118	1448
424	5130	1436
425	5142	1424
426	5154	1412
427	5166	1400
428	5178	1388
429	5190	1376
430	5202	1363
431	5213	1351
432	5225	1339
433	5237	1327
434	5249	1315
435	5261	1303
436	5273	1291
437	5284	1278
438	5296	1266
439	5308	1254
440	5320	1242
441	5332	1230
442	5344	1218
443	5355	1206
444	5367	1194
445	5379	1182
446	5391	1169
447	5403	1157
448	5415	1145
449	5426	1133
450	5438	1121
451	5450	1109
452	5462	1097
453	5474	1085
454	5486	1073
455	5497	1060
456	5509	1048
457	5521	1036
458	5533	1024
459	5545	1012
460	5557	1000
461	5569	988
462	5580	976
463	5592	964
464	5604	952
465	5616	940
466	5628	927
467	5640	915
468	5652	903
469	5663	891
470	5675	879
471	5687	867
472	5699	855
473	5711	843
474	5723	831
475	5735	819
476	5747	807
477	5758	795
478	5770	783
479	5782	771
480	5794	758
481	5806	746
482	5818	734
483	5830	722
484	5841	710
485	5853	698
486	5865	686
487	5877	674
488	5889	662
489	5900	650
490	5912	638
491	5924	626
492	5936	614
493	5948	602
494	5959	589
495	5971	577
496	5983	565
497	5995	553
498	6007	541
499	6018	529
500	6030	517
501	6042	505
502	6054	493
503	6066	481
504	6078	469
505	6089	457
506	6101	445
507	6113	433
508	6125	421
509	6137	409
510	6149	397
511	6160	385
512	6172	373
513	6184	360
514	6196	348
515	6208	336
516	6220	324
517	6232	312
518	6244	300
519	6256	288
520	6268	276
521	6280	264
522	6292	252
523	6304	240
524	6315	228
525	6327	216
526	6339	204
527	6351	192
528	6362	180
529	6374	168
530	6385	156
531	6396	144
532	6408	132
533	6419	120
534	6431	108
535	6442	96
536	6453	84
537	6464	72
538	6475	60
539	6486	48
540	6497	36
541	6508	24
542	6519	12
543	6530	0
