iter	RMSE
0	19.78865205
1	19.53963346
2	19.37816475
3	19.22092924
4	19.03312348
5	18.68789954
6	18.53362726
7	18.37036173
8	18.18863615
9	18.0766608
10	17.96981112
11	17.83105336
12	17.47844158
13	17.36827832
14	17.22964944
15	16.8829679
16	16.55273643
17	16.31462565
18	16.17715885
19	16.17715885
20	15.89015917
21	15.71377013
22	15.50941408
23	15.41577534
24	15.31939919
25	15.10846306
26	14.84413704
27	14.75208792
28	14.57791715
29	14.49629676
30	14.22814555
31	14.13969308
32	13.89191852
33	13.83093217
34	13.7793193
35	13.72128805
36	13.63249848
37	13.48719101
38	13.34027204
39	13.24662315
40	13.20056941
41	13.08075195
42	13.03042477
43	12.95855463
44	12.79427408
45	12.73395448
46	12.61072146
47	12.41337551
48	12.35550025
49	12.30880234
50	12.24640564
51	12.16754821
52	12.10270835
53	12.04600516
54	11.96221085
55	11.89681387
56	11.84416318
57	11.67970793
58	11.61450392
59	11.55456105
60	11.4082811
61	11.26565483
62	11.18251093
63	11.12899222
64	11.05042657
65	10.98466528
66	10.98466528
67	10.93970528
68	10.89514269
69	10.82470234
70	10.78733265
71	10.73377089
72	10.73377089
73	10.66979687
74	10.60665203
75	10.58774317
76	10.54793125
77	10.51225547
78	10.46363331
79	10.36447152
80	10.30895251
81	10.26237228
82	10.15382493
83	10.06312115
84	10.01940422
85	9.980860005
86	9.943770899
87	9.918264987
88	9.86629419
89	9.774526082
90	9.751476388
91	9.71267925
92	9.635749082
93	9.54299232
94	9.493273187
95	9.456153265
96	9.42544445
97	9.390538471
98	9.315556699
99	9.286689026
100	9.258412561
101	9.225687819
102	9.170506671
103	9.100271337
104	9.061709101
105	8.997447532
106	8.957816905
107	8.934338113
108	8.917199725
109	8.897433481
110	8.85860723
111	8.836969806
112	8.787487083
113	8.753129352
114	8.710235255
115	8.68394265
116	8.627706336
117	8.577061431
118	8.550074314
119	8.528472636
120	8.485852558
121	8.462350633
122	8.447892483
123	8.401048888
124	8.376559073
125	8.306341392
126	8.276282282
127	8.246850626
128	8.215982889
129	8.19082152
130	8.158312439
131	8.104493564
132	8.0829899
133	8.041790469
134	7.993990603
135	7.969606659
136	7.938148497
137	7.895296017
138	7.870057783
139	7.844317358
140	7.812128392
141	7.785949351
142	7.753663331
143	7.706600588
144	7.688740675
145	7.665988697
146	7.64894304
147	7.621663358
148	7.588395003
149	7.569890602
150	7.523972314
151	7.477459196
152	7.459097971
153	7.433303228
154	7.408712176
155	7.385772939
156	7.370627571
157	7.325176418
158	7.299042724
159	7.279946687
160	7.266309347
161	7.252674553
162	7.220833468
163	7.175633717
164	7.175633717
165	7.132732432
166	7.116492793
167	7.089794156
168	7.066542574
169	7.043646744
170	7.017158193
171	7.017158193
172	6.974137331
173	6.939243961
174	6.915581312
175	6.886526072
176	6.865716937
177	6.842133323
178	6.830103664
179	6.813249929
180	6.772110456
181	6.757217358
182	6.737748368
183	6.703841383
184	6.676195458
185	6.660539814
186	6.641124097
187	6.618105238
188	6.592916373
